SKU,Product,Title,Price,Scripture_Reference,Scripture_Text,Tags,Design_Direction,AI_Scripture_Color_Pop_Prompt,Reference_Design_v1_URL,Notes
JT001,Tee,Freedom Still Rings,29.99,Galatians 5:1,"Stand fast in the liberty wherewith Christ hath made us free.","Juneteenth, Freedom, Faith, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Bold typography 'FREEDOM STILL RINGS' with the verse 'Stand fast in the liberty wherewith Christ hath made us free' - Galatians 5:1. Reds, golds, greens, black, paint splashes, radiant light, modern vector, high contrast, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_011851_88d723eb-93fc-48cc-9928-e9b155c597e8.png,Redo as scripture-based
JT002,Hoodie,Walking in Freedom,49.99,2 Corinthians 3:17,"Where the Spirit of the Lord is, there is liberty.","Juneteenth Hoodie, Freedom, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. Pop-art lettering 'WALKING IN FREEDOM' with verse 'Where the Spirit of the Lord is, there is liberty' - 2 Corinthians 3:17. African-inspired geometric accents, reds golds greens black, paint splashes, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020740_94b87aa3-5ec6-409b-96af-4c5644ba50f9.png,Redo as scripture-based
JT003,Kids Tee,Little Voices of Freedom,24.99,Psalm 8:2,"Out of the mouth of babes...thou hast ordained strength.","Kids Juneteenth, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth kids t-shirt. Cute lettering 'LITTLE VOICES OF FREEDOM' with verse 'Out of the mouth of babes thou hast ordained strength' - Psalm 8:2. Smiling children silhouettes, joyful, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020742_83d891d7-1285-4f00-a1e5-9b492f240103.png,Redo as scripture-based
JT004,Kids Jumper,Brave Little Dreamer,34.99,Joshua 1:9,"Be strong and of a good courage.","Toddler Juneteenth, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth toddler jumper. Playful 'BRAVE LITTLE DREAMER' with verse 'Be strong and of a good courage' - Joshua 1:9. Cartoon watercolor, stars, balloons, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020744_8ad48bc0-5443-4cf7-b202-cde10358e21c.png,Redo as scripture-based
JT005,Mug,Morning of Freedom,17.99,Lamentations 3:22-23,"His mercies...are new every morning.","Juneteenth Mug, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'MORNING OF FREEDOM' with verse 'His mercies are new every morning' - Lamentations 3:22-23. Bright sunrise, reds golds greens black, print-ready wraparound, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020746_e4d51d01-9c31-42af-9597-4011414340a2.png,Redo as scripture-based
JT006,Tee,Faith & Freedom,29.99,John 8:36,"If the Son therefore shall make you free, ye shall be free indeed.","Christian Juneteenth, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Elegant 'FAITH & FREEDOM' with verse 'If the Son shall make you free, ye shall be free indeed' - John 8:36. Colorful rays, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_011853_69f318e1-52e4-4583-a29d-d5f12720e589.png,Redo as scripture-based
JT007,Hoodie,Unstoppable Hope,49.99,Romans 15:13,"Now the God of hope fill you with all joy and peace.","Hope Hoodie, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth hoodie. 'UNSTOPPABLE HOPE' with verse 'Now the God of hope fill you with all joy and peace' - Romans 15:13. Neon pop colors, paint textures, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020748_8a907c3c-d4b2-4a64-b2f4-aad342541a1a.png,Redo as scripture-based
JT008,Tee,Freedom Looks Good,29.99,2 Corinthians 3:17,"Where the Spirit of the Lord is, there is liberty.","Juneteenth Shirt, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth t-shirt. Streetwear 'FREEDOM LOOKS GOOD' with verse '...there is liberty' - 2 Corinthians 3:17. Vibrant gradients, reds golds greens black, print-ready 4500x5400, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020749_fa9697b8-59c4-4fd2-a29b-53491901b2d6.png,Redo as scripture-based
JT009,Kids Tee,Shine Bright,24.99,Matthew 5:16,"Let your light so shine before men.","Kids Faith, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth kids t-shirt. 'SHINE BRIGHT' with verse 'Let your light so shine before men' - Matthew 5:16. Rainbow Color Pop, joyful, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020752_0d2c9eae-1a91-450b-90a5-9e6526236710.png,Redo as scripture-based
JT010,Mug,Freedom Every Day,17.99,Psalm 118:24,"This is the day which the LORD hath made.","Coffee Cup, Scripture",Scripture-based Color Pop,"Premium Color Pop Juneteenth mug wrap. 'FREEDOM EVERY DAY' with verse 'This is the day which the LORD hath made' - Psalm 118:24. Colorful wraparound, reds golds greens black, print-ready, transparent background, no mockup, no watermark.",https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_020753_a00da3dc-a0ba-417d-b393-7c908aa70275.png,Redo as scripture-based
